ID,Estradas,Numero_Estradas,Descricoes,Comprimento,Data_Inicio,Hora_Inicio,Data_Fim,Hora_Fim,Categoria,Magnitude,Coordenadas,Cidade,Versao,Diferenca
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7074706013,-9.1434279525",Lisboa,12,1.0
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7071165465,-9.1434695267",Lisboa,12,1.0
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7068255438,-9.1435057365",Lisboa,12,1.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7064124869,-9.1463850879",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7064124869,-9.1462228143",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7064084969,-9.1458285295",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7064058151,-9.1453189098",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7063963962,-9.1451432251",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7063963962,-9.1450976276",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.706395088,-9.1449058496",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7064004516,-9.1447355294",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7063910327,-9.1444941305",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7063776238,-9.1443506324",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7063548615,-9.1442594373",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7063239883,-9.1441709244",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7062770246,-9.1440663182",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.706223389,-9.1439040446",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7061979448,-9.1438302838",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7061845359,-9.1437417709",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7061777988,-9.1436559402",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.706175117,-9.1435486519",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7061804806,-9.1434587979",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7062059902,-9.1433461451",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.7062448432,-9.14324288",Lisboa,2,9.0
93f3640ca87ee3f426c308837c588318,"",0,"Transito parado",283.801327582,2021-05-15,07,2021-05-15,16,Congestionamento,Elevado,"38.706271661,-9.1431959414",Lisboa,2,9.0
e9e865708271dfe0378d2fcd440f4814,"",0,"Encerrado/a",40.290916559,2021-04-13,15,,,Estrada fechada,Indefinido,"38.7130362205,-9.1428003155",Lisboa,1,
e9e865708271dfe0378d2fcd440f4814,"",0,"Encerrado/a",40.290916559,2021-04-13,15,,,Estrada fechada,Indefinido,"38.7130133948,-9.1428807818",Lisboa,1,
e9e865708271dfe0378d2fcd440f4814,"",0,"Encerrado/a",40.290916559,2021-04-13,15,,,Estrada fechada,Indefinido,"38.7129557747,-9.1432522678",Lisboa,1,
a5e6a569455dd5dcd76b0a824ae81f3b,"",0,"Transito parado",157.2301499071,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7218901912,-9.1411816024",Lisboa,1,0.5
a5e6a569455dd5dcd76b0a824ae81f3b,"",0,"Transito parado",157.2301499071,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7217762078,-9.1412862086",Lisboa,1,0.5
a5e6a569455dd5dcd76b0a824ae81f3b,"",0,"Transito parado",157.2301499071,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7213550628,-9.1415624761",Lisboa,1,0.5
a5e6a569455dd5dcd76b0a824ae81f3b,"",0,"Transito parado",157.2301499071,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7212491222,-9.1416308724",Lisboa,1,0.5
a5e6a569455dd5dcd76b0a824ae81f3b,"",0,"Transito parado",157.2301499071,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7211726748,-9.14167647",Lisboa,1,0.5
